Algoritmo,Unique(Y/N),Sorted(Y/N),Run#,Problem_Size,#_Sets,Probability,#_of_Steps,Best_Cost,Time
Dijkstra,Y,N,24,10,10,0.4,406,11,0.16201489997911267
Pruning,Y,N,23,10,10,0.4,6394,13,0.33535149999079295
Pruning,N,N,25,10,10,0.4,17469,11,1.4766268999956083
A*,Y,Y,22,10,10,0.4,529,13,0.5420381000149064
Pruning,N,N,26,10,10,0.4,10577,12,0.7859006999933627
A*,Y,N,24,10,10,0.4,479,11,0.49110319997998886
Pruning,N,N,21,10,10,0.4,35051,13,3.2079912000044715
Dijkstra,Y,N,23,10,10,0.4,1002,13,0.3793582000071183
Pruning,Y,Y,24,10,10,0.4,3401,11,0.24639280000701547
A*,Y,N,19,10,10,0.4,1438,14,1.3353532000037376
Dijkstra,Y,Y,24,10,10,0.4,425,11,0.1616846999968402
Dijkstra,N,N,26,10,10,0.4,1685,12,0.6717016999900807
Dijkstra,N,N,21,10,10,0.4,1869,13,0.7976348000229336
A*,Y,Y,24,10,10,0.4,479,11,0.4336988000140991
Pruning,Y,Y,19,10,10,0.4,9429,14,0.6925738999852911
Pruning,N,N,27,10,10,0.4,8540,12,0.6491127999906894
A*,Y,N,23,10,10,0.4,917,13,0.9281801000179257
Dijkstra,N,N,25,10,10,0.4,3193,11,1.439513999997871
Dijkstra,N,N,27,10,10,0.4,1026,12,0.4752345999877434
Dijkstra,Y,Y,19,10,10,0.4,1375,14,0.5378676999825984
Pruning,Y,Y,23,10,10,0.4,8315,13,0.5938071999989916
Dijkstra,Y,Y,23,10,10,0.4,868,13,0.3418738000036683
Pruning,N,N,28,10,10,0.4,7996,11,0.6225592000118922
A*,N,N,26,10,10,0.4,1695,12,1.3652224999968894
A*,N,N,21,10,10,0.4,1626,13,1.3557816999964416
Dijkstra,N,N,28,10,10,0.4,904,11,0.3859834000177216
A*,N,N,27,10,10,0.4,1008,12,0.8916510999843013
A*,Y,Y,23,10,10,0.4,928,13,0.7592660000082105
Pruning,Y,N,27,10,10,0.4,6493,12,0.4306536999938544
A*,Y,Y,19,10,10,0.4,1439,14,1.2946930000034627
A*,N,N,28,10,10,0.4,907,11,0.8125260999950115
A*,N,N,3,10,10,0.4,8242,13,6.243426699977135
Pruning,Y,N,26,10,10,0.4,15594,12,1.2172887999913655
Dijkstra,Y,N,27,10,10,0.4,1046,12,0.5053841000190005
A*,N,N,25,10,10,0.4,2942,11,2.164311100001214
Pruning,Y,N,21,10,10,0.4,16839,13,1.3519251999969129
Pruning,Y,N,28,10,10,0.4,8685,11,0.6113970000005793
Pruning,N,N,29,10,10,0.4,8546,12,0.612023900001077
Pruning,Y,N,25,10,10,0.4,6941,11,0.4799091999884695
Dijkstra,Y,N,26,10,10,0.4,1698,12,0.7684308000025339
Dijkstra,Y,N,28,10,10,0.4,912,11,0.3346945999946911
Dijkstra,Y,N,21,10,10,0.4,1550,13,0.6676349999906961
A*,Y,N,27,10,10,0.4,994,12,0.9053531999816187
Dijkstra,N,N,29,10,10,0.4,981,12,0.40009540002210997
Dijkstra,Y,N,25,10,10,0.4,1227,11,0.3738581000070553
Pruning,Y,Y,27,10,10,0.4,8367,12,0.6236558000091463
Pruning,N,N,30,10,10,0.4,18577,12,1.49966349999886
A*,Y,N,28,10,10,0.4,907,11,0.8725709999853279
A*,Y,N,25,10,10,0.4,1183,11,0.7186593000078574
A*,N,N,29,10,10,0.4,1050,12,0.8454261000151746
Dijkstra,Y,Y,27,10,10,0.4,1008,12,0.4045977999921888
Pruning,Y,Y,28,10,10,0.4,6676,11,0.43191630000364967
A*,Y,N,26,10,10,0.4,1682,12,1.4546001000271644
Pruning,Y,Y,25,10,10,0.4,6506,11,0.5226614999992307
A*,Y,N,21,10,10,0.4,1645,13,1.3711585999990348
Pruning,Y,N,29,10,10,0.4,7193,12,0.5074175999907311
Dijkstra,Y,Y,28,10,10,0.4,936,11,0.4048264999873936
Dijkstra,N,N,30,10,10,0.4,2316,12,1.0024953999964055
Dijkstra,Y,Y,25,10,10,0.4,1222,11,0.3743718999903649
Dijkstra,Y,N,29,10,10,0.4,1020,12,0.3835200000030454
A*,Y,Y,27,10,10,0.4,1011,12,0.8634684999997262
A*,Y,Y,25,10,10,0.4,1183,11,0.7837306000001263
A*,Y,Y,28,10,10,0.4,908,11,0.9444676000275649
Pruning,Y,Y,21,10,10,0.4,17397,13,1.371076899988111
A*,Y,N,29,10,10,0.4,1029,12,1.0451701000274625
Pruning,Y,N,3,10,10,0.4,46959,13,4.016982999979518
Pruning,Y,Y,26,10,10,0.4,22092,12,1.823433900019154
A*,N,N,30,10,10,0.4,1884,12,1.4677739999897312
Pruning,N,N,33,10,10,0.4,4065,12,0.24962339998455718
Dijkstra,Y,Y,21,10,10,0.4,1802,13,0.7747739999904297
Pruning,Y,Y,29,10,10,0.4,9844,12,0.6990077999944333
Dijkstra,N,N,33,10,10,0.4,519,12,0.2007203999964986
Dijkstra,Y,Y,26,10,10,0.4,1752,12,0.7068679999792948
Dijkstra,Y,Y,29,10,10,0.4,1148,12,0.425475700001698
A*,N,N,33,10,10,0.4,652,12,0.5162319000228308
Pruning,Y,N,33,10,10,0.4,4614,12,0.28435120001086034
Dijkstra,Y,N,33,10,10,0.4,507,12,0.21605670001008548
Pruning,N,N,32,10,10,0.4,20784,13,1.6906576000037603
A*,Y,Y,29,10,10,0.4,1032,12,0.8356858000042848
A*,Y,Y,21,10,10,0.4,1576,13,1.475187800009735
A*,Y,N,33,10,10,0.4,667,12,0.6793974000029266
A*,Y,Y,26,10,10,0.4,1687,12,1.5101484000042547
Pruning,N,N,34,10,10,0.4,1944,12,0.12808950000908226
Pruning,Y,Y,33,10,10,0.4,4346,12,0.29648200000519864
Pruning,Y,N,30,10,10,0.4,28831,12,2.4388405999925453
Dijkstra,N,N,34,10,10,0.4,306,12,0.11840550001943484
Dijkstra,Y,Y,33,10,10,0.4,509,12,0.16755350001039915
Dijkstra,N,N,32,10,10,0.4,2422,13,1.1100250000017695
A*,N,N,34,10,10,0.4,234,12,0.1953856000036467
Pruning,Y,N,34,10,10,0.4,2293,12,0.12746650000917725
Dijkstra,Y,N,34,10,10,0.4,294,12,0.10708010001690127
Pruning,N,N,35,10,10,0.4,8195,12,0.6129191000072751
A*,Y,N,34,10,10,0.4,217,12,0.2219751000229735
